Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning,DicomRGBColor
skeletal_muscle,SCT,123037004,Anatomical Structure,SCT,127954009,Skeletal muscle,,,,,,,,,,"230,130,40"
torso_fat,SCT,85756007,Tissue,SCT,55603005,Fat,,,,SCT,22943007,Trunk,,,,"250,235,160"
spinal_cord,SCT,123037004,Anatomical Structure,SCT,2748008,Spinal cord,,,,,,,,,,"255,215,0"
lung_covid_infiltrate,SCT,49755003,Morphologically Altered Structure,SCT,47351003,Infiltrate,SCT,840539006,COVID-19,SCT,39607008,Lung,,,,"255,90,0"
intracerebral_hemorrhage,SCT,49755003,Morphologically Altered Structure,SCT,50960005,Hemorrhage,,,,SCT,12738006,Brain,,,,"220,0,0"
hip_implant,SCT,260787004,Physical object,SCT,40388003,Implant,,,,SCT,24136001,Hip joint,,,,"120,120,120"
coronary_arteries,SCT,123037004,Anatomical Structure,SCT,41801008,Coronary artery,,,,,,,,,,"200,0,0"
kidney,SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,,,,,,,,,,"40,120,160"
adrenal_gland,SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,,,,,,,,,,"210,150,30"
thyroid_gland,SCT,123037004,Anatomical Structure,SCT,69748006,Thyroid gland,,,,,,,,,,"250,210,60"
vertebrae_lumbar,SCT,123037004,Anatomical Structure,SCT,51282000,Vertebra,,,,SCT,122496007,Lumbar spine,,,,"106,81,46"
vertebrae_thoracic,SCT,123037004,Anatomical Structure,SCT,51282000,Vertebra,,,,SCT,122495006,Thoracic spine,,,,"143,118,83"
vertebrae_cervical,SCT,123037004,Anatomical Structure,SCT,51282000,Vertebra,,,,SCT,122494005,Cervical spine,,,,"180,155,120"
iliac_artery,SCT,123037004,Anatomical Structure,SCT,73634005,Common iliac artery,,,,,,,,,,"190,0,0"
iliac_vena,SCT,123037004,Anatomical Structure,SCT,46027005,Common iliac vein,,,,,,,,,,"0,80,200"
ribs,SCT,123037004,Anatomical Structure,SCT,113197003,Rib,,,,,,,,,,"230,210,180"
scapula,SCT,123037004,Anatomical Structure,SCT,79601000,Scapula,,,,,,,,,,"220,200,170"
clavicula,SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,,,,,,,,,,"225,205,175"
hip,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,,,,,,,,,,"216,184,54"
gluteus_maximus,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,,,,,,,,,,"220,100,30"
gluteus_medius,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,,,,,,,,,,"230,110,40"
gluteus_minimus,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,,,,,,,,,,"240,120,50"
autochthon,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,,,,,,,,,,"210,110,50"
iliopsoas,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,,,,,,,,,,"200,100,40"
lung_vessels,SCT,123037004,Anatomical Structure,SCT,59820001,Blood vessel,,,,SCT,39607008,Lung,,,,"0,150,190"
lung_trachea_bronchia,SCT,123037004,Anatomical Structure,SCT,110726009,Trachea and bronchus,,,,,,,,,,"37,217,237"
body_trunc,SCT,123037004,Anatomical Structure,SCT,22943007,Trunk,,,,,,,,,,"216,54,178"
body_extremities,SCT,123037004,Anatomical Structure,SCT,66019005,Limb,,,,,,,,,,"216,208,54"
vertebrae_body,SCT,123037004,Anatomical Structure,SCT,3572006,Vertebral body,,,,,,,,,,"190,160,130"
lung_pleural,SCT,123037004,Anatomical Structure,SCT,3120008,Pleural membrane,,,,,,,,,,"40,200,210"
pleural_effusion,SCT,49755003,Morphologically Altered Structure,SCT,41699000,Effusion,,,,SCT,91381003,Pleural cavity,,,,"0,210,255"
pericardial_effusion,SCT,49755003,Morphologically Altered Structure,SCT,41699000,Effusion,,,,SCT,25489000,Pericardial cavity,,,,"0,200,255"
liver_vessels,SCT,123037004,Anatomical Structure,SCT,59820001,Blood vessel,,,,SCT,10200004,Liver,,,,"60,160,60"
liver_tumor,SCT,49755003,Morphologically Altered Structure,SCT,108369006,Neoplasm,,,,SCT,10200004,Liver,,,,"255,0,200"
costal_cartilages,SCT,123037004,Anatomical Structure,SCT,50016007,Costal cartilage,,,,,,,,,,"250,220,190"
